"mident","mois","actif","actifp","actifs","agea"
1101757001,15,0,0,0,46.25
1101757001,16,0,0,0,46.333332
1101757001,17,0,0,0,46.416668
1101757001,18,1,0,1,46.5
1101757001,19,1,0,1,46.583332
1101757001,20,1,0,1,46.666668
1101757001,21,1,0,1,46.75
1101757001,22,0,0,0,46.833332
1101757001,23,1,1,0,46.916668
1101757001,24,1,1,0,47
1101928001,13,0,0,0,41.25
1101928001,14,0,0,0,41.333332
1101928001,15,0,0,0,41.416668
1101928001,16,0,0,0,41.5
1101928001,17,0,0,0,41.583332
1101928001,18,0,0,0,41.666668
1101928001,19,0,0,0,41.75
1101928001,20,0,0,0,41.833332
1101928001,21,0,0,0,41.916668
1101928001,22,0,0,0,42
1101928001,23,0,0,0,42.083332
1101928001,24,0,0,0,42.166668
1101937001,13,1,1,0,25.25
1101937001,14,1,1,0,25.333334
1101937001,15,1,1,0,25.416666
1101937001,16,1,1,0,25.5
1101937001,17,1,1,0,25.583334
1101937001,18,1,1,0,25.666666
1101937001,19,1,1,0,25.75
1101937001,20,1,1,0,25.833334
1101937001,21,1,1,0,25.916666
1101937001,22,1,1,0,26
1101937001,23,1,1,0,26.083334
1101937001,24,1,1,0,26.166666
1101944001,13,1,1,0,24.25
1101944001,14,1,1,0,24.333334
1101944001,15,1,1,0,24.416666
1101944001,16,1,1,0,24.5
1101944001,17,1,1,0,24.583334
1101944001,18,1,1,0,24.666666
1101944001,19,1,1,0,24.75
1101944001,20,1,1,0,24.833334
1101944001,21,1,1,0,24.916666
1101944001,22,1,1,0,25
1101944001,23,1,1,0,25.083334
1101944001,24,1,1,0,25.166666
1101973001,13,1,1,0,28.833334
1101973001,14,1,1,0,28.916666
1101973001,15,1,1,0,29
1101973001,16,1,1,0,29.083334
1101973001,17,1,1,0,29.166666
1101973001,18,1,1,0,29.25
1101973001,19,1,1,0,29.333334
1101973001,20,1,1,0,29.416666
1101973001,21,1,1,0,29.5
1101973001,22,1,1,0,29.583334
1101973001,23,1,1,0,29.666666
1101973001,24,1,1,0,29.75
1101982001,13,1,1,0,53.166668
1101982001,14,1,1,0,53.25
1101982001,15,1,1,0,53.333332
1101982001,16,1,1,0,53.416668
1101982001,17,1,1,0,53.5
1101982001,18,1,1,0,53.583332
1101982001,19,1,1,0,53.666668
1101982001,20,1,1,0,53.75
